Date,Price,Returns,State
1996-01-30,5306.10009765625,0.006561157134642732,0
1996-01-31,5378.7001953125,0.013589625068321093,2
1996-02-01,5394.89990234375,0.0030072991559703826,2
1996-02-02,5402.89990234375,0.001481783624163062,2
1996-02-05,5373.2998046875,-0.005493619811220857,2
1996-02-06,5407.60009765625,0.006363180998708222,0
1996-02-07,5458.2001953125,0.00931371129006305,0
1996-02-08,5488.5,0.0055358932879837255,2
1996-02-09,5539.5,0.009249249833356435,2
1996-02-12,5541.2998046875,0.00032485104596255746,2
1996-02-13,5593.60009765625,0.009394009473039956,2
1996-02-14,5599.10009765625,0.0009827834832904089,2
1996-02-15,5578.10009765625,-0.003757653856595632,0
1996-02-16,5552.10009765625,-0.00467198196554743,0
1996-02-20,5502.2001953125,-0.009028204401824249,2
1996-02-21,5454.89990234375,-0.008633778348076953,2
1996-02-22,5516.330078125,0.01119852885605145,0
1996-02-23,5608.5,0.016570505838250385,2
1996-02-26,5629.10009765625,0.00366628471420203,0
1996-02-27,5564.0,-0.01163231475614648,2
1996-02-28,5547.7998046875,-0.002915856490466697,0
1996-02-29,5506.2001953125,-0.0075266520284672,2
1996-03-01,5488.2001953125,-0.0032743970463109486,2
1996-03-04,5535.1201171875,0.00851289881806585,2
1996-03-05,5600.89990234375,0.011814014363829069,2
1996-03-06,5643.5,0.007577158735697456,2
1996-03-07,5630.0,-0.0023949982619449446,2
1996-03-08,5636.60009765625,0.0011716220251072524,2
1996-03-11,5470.7998046875,-0.029856241852350973,2
1996-03-12,5580.60009765625,0.019871492669222113,2
1996-03-13,5581.7001953125,0.00019710949014781855,2
1996-03-14,5569.10009765625,-0.002259945956876231,2
1996-03-15,5586.39990234375,0.003101576541769132,2
1996-03-18,5585.7001953125,-0.00012525971411800904,0
1996-03-19,5683.60009765625,0.017375056609394438,0
1996-03-20,5668.7998046875,-0.0026074312887657014,0
1996-03-21,5652.2001953125,-0.0029325362196033654,0
1996-03-22,5628.2998046875,-0.004237476421852167,2
1996-03-25,5638.39990234375,0.0017929119661436938,0
1996-03-26,5642.7998046875,0.0007800416057003195,2
1996-03-27,5670.60009765625,0.0049145878629129084,0
1996-03-28,5624.7001953125,-0.008127301409479119,2
1996-03-29,5633.39990234375,0.0015455021162444561,2
1996-04-01,5588.60009765625,-0.007984324128335078,0
1996-04-02,5637.39990234375,0.008694122942483963,2
1996-04-03,5671.7001953125,0.006065981881673269,2
1996-04-04,5689.7001953125,0.0031686261273104178,2
1996-04-08,5679.990234375,-0.001708043566922463,0
1996-04-09,5595.10009765625,-0.015058281272368296,0
1996-04-10,5559.2998046875,-0.0064190662356731175,2
1996-04-11,5488.5,-0.012817171778130378,2
1996-04-12,5487.39990234375,-0.0002004569410657157,2
1996-04-15,5535.7998046875,0.008781518009255857,2
1996-04-16,5593.60009765625,0.010387049284169076,0
1996-04-17,5618.60009765625,0.004459435435478584,2
1996-04-18,5547.7998046875,-0.012681122362342067,2
1996-04-19,5551.39990234375,0.0006487130383322304,2
1996-04-22,5536.2001953125,-0.0027417504994718934,2
1996-04-23,5565.10009765625,0.005206591456378495,2
1996-04-24,5590.39990234375,0.004535851923069349,2
1996-04-25,5554.2998046875,-0.006478456103157456,0
1996-04-26,5566.89990234375,0.0022659611156220496,2
1996-04-29,5567.60009765625,0.0001257704097037304,0
1996-04-30,5574.10009765625,0.0011667879450133068,2
1996-05-01,5567.60009765625,-0.0011667879450133962,2
1996-05-02,5574.5,0.001238528314282747,2
1996-05-03,5495.39990234375,-0.014291266341173902,2
1996-05-06,5479.5,-0.0028975049630053764,0
1996-05-07,5464.7001953125,-0.002704594843823616,2
1996-05-08,5417.2998046875,-0.00871176078137408,0
1996-05-09,5470.7998046875,0.009827322028243251,2
1996-05-10,5476.60009765625,0.0010596659596342256,2
1996-05-13,5516.5,0.007259112934234124,0
1996-05-14,5577.419921875,0.010982688652295467,2
1996-05-15,5622.89990234375,0.008121237812797675,0
1996-05-16,5622.10009765625,-0.00014225072278317686,2
1996-05-17,5635.7998046875,0.002433795630170186,2
1996-05-20,5688.2001953125,0.009254815372531656,2
1996-05-21,5749.89990234375,0.010788558406454216,2
1996-05-22,5730.2998046875,-0.0034145950767948486,2
1996-05-23,5778.0,0.008289750751148687,2
1996-05-24,5761.7001953125,-0.002824998093854132,2
1996-05-28,5762.10009765625,6.940459462043864e-05,2
1996-05-29,5709.7001953125,-0.009135491454549149,2
1996-05-30,5671.60009765625,-0.006695234990529394,2
1996-05-31,5693.0,0.0037660678692134483,0
1996-06-03,5643.89990234375,-0.008662051368860588,2
1996-06-04,5625.81005859375,-0.0032103504614383275,2
1996-06-05,5665.7001953125,0.007065538935130225,0
1996-06-06,5696.0,0.005333687035898499,0
1996-06-07,5665.0,-0.005457279629705029,2
1996-06-10,5697.10009765625,0.005650396103753186,2
1996-06-11,5687.89990234375,-0.0016161962784620614,0
1996-06-12,5667.60009765625,-0.003575329366708393,2
1996-06-13,5668.2998046875,0.0001234497548790972,2
1996-06-14,5658.2998046875,-0.001765755468210733,2
1996-06-17,5650.2001953125,-0.0014324818959253732,2
1996-06-18,5652.7998046875,0.0004599857419866147,0
1996-06-19,5629.10009765625,-0.004201374253938876,2
1996-06-20,5645.0,0.002820608784282296,2
1996-06-21,5660.2001953125,0.002689064184510425,2
1996-06-24,5704.5,0.007796075268151401,2
1996-06-25,5717.7998046875,0.002328744810655886,0
1996-06-26,5717.7998046875,0.0,2
1996-06-27,5682.7001953125,-0.006157575593566385,2
1996-06-28,5677.5,-0.0009155112737999851,0
1996-07-01,5654.60009765625,-0.00404160452485658,2
1996-07-02,5729.60009765625,0.013176346833476515,2
1996-07-03,5720.0,-0.0016769319144899562,2
1996-07-05,5700.39990234375,-0.003432474706259796,2
1996-07-08,5586.2998046875,-0.020219193874523998,2
1996-07-09,5552.2998046875,-0.006104915660966489,2
1996-07-10,5582.60009765625,0.005442414036112114,2
1996-07-11,5603.64990234375,0.0037635185220080596,2
1996-07-12,5520.89990234375,-0.014877280919420671,2
1996-07-15,5509.7998046875,-0.0020125833714632556,2
1996-07-16,5349.5,-0.02952519082066822,2
1996-07-17,5357.2998046875,0.0014569817703824733,2
1996-07-18,5376.89990234375,0.0036519013944328305,2
1996-07-19,5464.2001953125,0.01610577880237539,2
1996-07-22,5426.5,-0.006923401659782375,2
1996-07-23,5392.7998046875,-0.0062296645641123985,2
1996-07-24,5346.60009765625,-0.008603831210115882,2
1996-07-25,5355.7998046875,0.001719186235065593,2
1996-07-26,5422.7998046875,0.012432201841416487,2
1996-07-29,5473.10009765625,0.009232950146330984,2
1996-07-30,5435.7001953125,-0.006856858293048929,0
1996-07-31,5479.39990234375,0.008007245032561835,2
1996-08-01,5528.89990234375,0.008993274984085526,2
1996-08-02,5595.89990234375,0.012045306208980434,0
1996-08-05,5680.2001953125,0.014952308480459284,2
1996-08-06,5674.2998046875,-0.001039304444248614,2
1996-08-07,5695.7001953125,0.003764365153224574,2
1996-08-08,5716.4501953125,0.003636479043161837,0
1996-08-09,5709.7998046875,-0.0011640549394514126,2
1996-08-12,5681.2998046875,-0.0050039171713657585,0
1996-08-13,5696.5,0.0026719057491567835,2
1996-08-14,5645.39990234375,-0.00901091419577125,2
1996-08-15,5666.5,0.0037306062306039587,0
1996-08-16,5666.52001953125,3.5329561255402337e-06,0
1996-08-19,5689.7998046875,0.004099887661829559,2
1996-08-20,5699.39990234375,0.0016858251987540726,0
1996-08-21,5717.89990234375,0.003240699028186349,2
1996-08-22,5689.7998046875,-0.004926524226940436,0
1996-08-23,5733.7998046875,0.007703389315530066,2
1996-08-26,5723.5,-0.0017979467479575897,0
1996-08-27,5696.10009765625,-0.0047987590966463165,2
1996-08-28,5710.2001953125,0.0024723362486107838,2
1996-08-29,5710.89990234375,0.00012252883279940905,0
1996-08-30,5646.5,-0.011340728179570022,0
1996-09-03,5611.7998046875,-0.0061643952990606075,2
1996-09-04,5646.89990234375,0.006235215839796918,2
1996-09-05,5655.7998046875,0.001574828034684202,2
1996-09-06,5607.0,-0.008665715615472837,2
1996-09-09,5660.22998046875,0.009448706839726598,2
1996-09-10,5732.39990234375,0.012669750184677002,2
1996-09-11,5726.39990234375,-0.0010472301900048891,0
1996-09-12,5752.7001953125,0.004582299790917369,2
1996-09-13,5773.10009765625,0.0035398710939416626,2
1996-09-16,5837.7998046875,0.011144765220135603,2
1996-09-17,5889.60009765625,0.008834120142825043,2
1996-09-18,5889.2001953125,-6.790205011671102e-05,2
1996-09-19,5875.10009765625,-0.0023971003896219477,2
1996-09-20,5868.10009765625,-0.0011921794251418486,2
1996-09-23,5887.7001953125,0.0033345438556644388,2
1996-09-24,5894.39990234375,0.001137268856625834,2
1996-09-25,5874.39990234375,-0.00339882053993855,2
1996-09-26,5877.39990234375,0.0005105601039887866,2
1996-09-27,5870.0,-0.001259836795208952,0
1996-09-30,5873.2998046875,0.0005619893606108126,2
1996-10-01,5878.39990234375,0.0008679762253270825,2
1996-10-02,5906.39990234375,0.0047518928029039245,2
1996-10-03,5933.2001953125,0.004527237157049471,0
